18,"Sunday, 1 August (2:40 pm) ",Fremantle 24.16 (160) ,def. ,West Coast 13.7 (85) ,"Subiaco Oval (crowd: 40,451) ",Report
,,,,,,
19,"Friday, 6 August (7:40 pm) ",Essendon 9.19 (73) ,def. by ,Carlton 23.11 (149) ,"MCG (crowd: 57,095) ",Report
19,"Saturday, 7 August (2:10 pm) ",North Melbourne 19.9 (123) ,def. ,Fremantle 10.9 (69) ,"Etihad Stadium (crowd: 14,891) ",Report
19,"Saturday, 7 August (2:10 pm) ",Sydney 19.15 (129) ,def. ,Hawthorn 13.7 (85) ,"SCG (crowd: 29,431) ",Report
19,"Saturday, 7 August (7:10 pm) ",Geelong 12.13 (85) ,def. by ,Collingwood 14.23 (107) ,"MCG (crowd: 84,401) ",Report
19,"Saturday, 7 August (5:40 pm) ",West Coast 9.11 (65) ,def. by ,Brisbane Lions 10.10 (70) ,"Subiaco Oval (crowd: 32,587) ",Report
19,"Sunday, 8 August (1:10 pm) ",St Kilda 23.13 (151) ,def. ,Port Adelaide 8.9 (57) ,"Etihad Stadium (crowd: 22,467) ",Report
19,"Sunday, 8 August (2:10 pm) ",Melbourne 16.13 (109) ,def. ,Richmond 11.14 (80) ,"MCG (crowd: 45,844) ",Report
19,"Sunday, 8 August (4:10 pm) ",Adelaide 7.11 (53) ,def. by ,Western Bulldogs 8.13 (61) ,"AAMI Stadium (crowd: 29,321) ",Report
,,,,,,
20,"Friday, 13 August (7:40 pm) ",Essendon 10.4 (64) ,def. by ,Collingwood 24.18 (162) ,"MCG (crowd: 59,277) ",Report
20,"Saturday, 14 August (2:10 pm) ",Carlton 23.18 (156) ,def. ,Richmond 10.7 (67) ,"MCG (crowd: 44,716) ",Report
20,"Saturday, 14 August (1:10 pm) ",Fremantle 13.9 (87) ,def. by ,Sydney 14.12 (96) ,"Subiaco Oval (crowd: 34,087) ",Report
20,"Saturday, 14 August (7:10 pm) ",Western Bulldogs 9.6 (60) ,def. by ,Geelong 25.11 (161) ,"Etihad Stadium (crowd: 42,199) ",Report
20,"Saturday, 14 August (7:10 pm) ",Port Adelaide 8.13 (61) ,def. ,West Coast 8.12 (60) ,"AAMI Stadium (crowd: 14,113) ",Report
20,"Sunday, 15 August (1:10 pm) ",Brisbane Lions 13.19 (97) ,def. by ,Adelaide 15.14 (104) ,"Gabba (crowd: 25,403) ",Report
20,"Sunday, 15 August (2:10 pm) ",Hawthorn 15.9 (99) ,def. ,Melbourne 12.6 (78) ,"MCG (crowd: 48,211) ",Report
20,"Sunday, 15 August (4:40 pm) ",North Melbourne 9.9 (63) ,def. by ,St Kilda 17.13 (115) ,"Etihad Stadium (crowd: 23,118) ",Report
,,,,,,
21,"Friday, 20 August (7:40 pm) ",Geelong 18.13 (121) ,def. ,Carlton 12.7 (79) ,"Etihad Stadium (crowd: 45,172) ",Report
21,"Saturday, 21 August (2:10 pm) ",St Kilda 17.13 (115) ,def. ,Richmond 14.10 (94) ,"Etihad Stadium (crowd: 33,790) ",Report
21,"Saturday, 21 August (2:10 pm) ",Hawthorn 24.11 (155) ,def. ,Fremantle 5.9 (39) ,"Aurora Stadium (crowd: 15,532[9]) ",Report
21,"Saturday, 21 August (7:10 pm) ",Collingwood 6.18 (54) ,def. ,Adelaide 7.9 (51) ,"MCG (crowd: 42,159) ",Report
21,"Saturday, 21 August (7:10 pm) ",Sydney 17.12 (114) ,def. ,Western Bulldogs 10.10 (70) ,"SCG (crowd: 36,554) ",Report
21,"Sunday, 22 August (12:40 pm) ",Port Adelaide 17.10 (112) ,def. ,Melbourne 11.17 (83) ,"AAMI Stadium (crowd: 21,086) ",Report
21,"Sunday, 22 August (2:10 pm) ",Essendon 10.8 (68) ,def. by ,Brisbane Lions 14.11 (95) ,"Etihad Stadium (crowd: 28,785) ",Report
21,"Sunday, 22 August (2:40 pm) ",West Coast 14.10 (94) ,def. by ,North Melbourne 16.14 (110) ,"Subiaco Oval (crowd: 32,007) ",Report
,,,,,,
22,"Friday, 27 August (6:40 pm) ",Fremantle 13.15 (93) ,def. ,Carlton 13.9 (87) ,"Subiaco Oval (crowd: 39,376) ",Report
22,"Saturday, 28 August (1:10 pm) ",Geelong 16.16 (112) ,def. ,West Coast 10.8 (68) ,"Skilled Stadium (crowd: 24,099) ",Report
22,"Saturday, 28 August (2:10 pm) ",Hawthorn 15.8 (98) ,def. ,Collingwood 13.17 (95) ,"MCG (crowd: 76,218) ",Report
22,"Saturday, 28 August (3:40 pm) ",Adelaide 9.11 (65) ,def. ,St Kilda 5.7 (37) ,"AAMI Stadium (crowd: 38,121) ",Report
22,"Saturday, 28 August (7:10 pm) ",Western Bulldogs 17.5 (107) ,def. ,Essendon 11.12 (78) ,"Etihad Stadium (crowd: 26,776) ",Report
22,"Saturday, 28 August (7:10 pm) ",Brisbane Lions 10.8 (68) ,def. by ,Sydney 16.10 (106) ,"Gabba (crowd: 24,789) ",Report
22,"Sunday, 29 August (2:10 pm) ",Richmond 16.16 (112) ,def. by ,Port Adelaide 18.14 (122) ,"Etihad Stadium (crowd: 37,674) ",Report
