18,"Saturday, 28 July (1:45 pm) ",Geelong 15.12 (102) ,def. ,Adelaide 11.9 (75) ,"Simonds Stadium (crowd: 18,377) "
18,"Saturday, 28 July (2:10 pm) ",North Melbourne 19.13 (127) ,def. ,Melbourne 11.7 (73) ,"Etihad Stadium (crowd: 20,816) "
18,"Saturday, 28 July (4:40 pm) ",Greater Western Sydney 7.12 (54) ,def. by ,Collingwood 26.18 (174) ,"Škoda Stadium (crowd: 8,102) "
18,"Saturday, 28 July (7:40 pm) ",Gold Coast 8.6 (54) ,def. by ,Sydney 19.12 (126) ,"Metricon Stadium (crowd: 11,169) "
18,"Saturday, 28 July (7:40 pm) ",Carlton 14.11 (95) ,def. ,Richmond 13.13 (91) ,"MCG (crowd: 46,013) "
18,"Sunday, 29 July (12:40 pm) ",Port Adelaide 6.12 (48) ,def. by ,Fremantle 11.9 (75) ,"AAMI Stadium (crowd: 14,583) "
18,"Sunday, 29 July (3:15 pm) ",St Kilda 16.22 (118) ,def. ,Western Bulldogs 6.6 (42) ,"Etihad Stadium (crowd: 23,498) "
18,"Sunday, 29 July (2:40 pm) ",West Coast 28.7 (175) ,def. ,Brisbane Lions 12.5 (77) ,"Patersons Stadium (crowd: 35,767) "
,,,,,
19,"Friday, 3 August (7:50 pm) ",Hawthorn 17.14 (116) ,def. by ,Geelong 18.10 (118) ,"MCG (crowd: 65,287) "
19,"Saturday, 4 August (1:45 pm) ",Western Bulldogs 8.13 (61) ,def. by ,North Melbourne 18.7 (115) ,"Etihad Stadium (crowd: 21,599) "
19,"Saturday, 4 August (2:10 pm) ",Greater Western Sydney 16.11 (107) ,def. ,Port Adelaide 10.13 (73) ,"Škoda Stadium (crowd: 6,811) "
19,"Saturday, 4 August (2:40 pm) ",Fremantle 17.11 (113) ,def. ,West Coast 6.12 (48) ,"Patersons Stadium (crowd: 39,694) "
19,"Saturday, 4 August (7:40 pm) ",Brisbane Lions 12.12 (84) ,def. by ,Richmond 20.12 (132) ,"The Gabba (crowd: 22,311) "
19,"Saturday, 4 August (7:40 pm) ",Collingwood 12.19 (91) ,def. ,St Kilda 13.7 (85) ,"MCG (crowd: 57,873) "
19,"Sunday, 5 August (1:10 pm) ",Melbourne 16.12 (108) ,def. ,Gold Coast 9.12 (66) ,"MCG (crowd: 18,097) "
19,"Sunday, 5 August (3:15 pm) ",Carlton 10.11 (71) ,def. by ,Sydney 14.9 (93) ,"Etihad Stadium (crowd: 36,942) "
19,"Sunday, 5 August (4:10 pm) ",Adelaide 16.8 (104) ,def. ,Essendon 15.10 (100) ,"AAMI Stadium (crowd: 40,030) "
,,,,,
20,"Friday, 10 August (6:40 pm) ",West Coast 16.6 (102) ,def. ,Geelong 15.7 (97) ,"Patersons Stadium (crowd: 37,812) "
